"Code";"Name";"Location";"Types of marriages";"Age of females";"Age of males";"Year";"Value";"Measure Unit";"Attribute";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2015";11858;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2016";12401;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2017";12594;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2018";12473;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2019";11932;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2020";9430;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2010";575;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2011";416;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2012";330;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2013";314;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2014";267;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2015";243;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2016";204;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2017";185;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2018";147;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2019";133;"-";"";
2200000;"POMORSKIE";"total";"total";"under 20 years";"males total";"2020";88;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2010";4686;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2011";4147;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2012";3909;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2013";3311;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2014";3427;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2015";3287;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2016";3249;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2017";3058;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2018";2925;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2019";2573;"-";"";
2200000;"POMORSKIE";"total";"total";"20-24";"males total";"2020";1952;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2010";5014;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2011";4546;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2012";4569;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2013";3868;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2014";4246;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2015";4346;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2016";4664;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2017";4852;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2018";4655;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2019";4436;"-";"";
2200000;"POMORSKIE";"total";"total";"25-29";"males total";"2020";3408;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2010";1712;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2011";1582;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2012";1591;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2013";1621;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2014";1712;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2015";1875;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2016";2017;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2017";2078;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2018";2197;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2019";2063;"-";"";
2200000;"POMORSKIE";"total";"total";"30-34";"males total";"2020";1678;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2010";667;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2011";652;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2012";659;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2013";626;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2014";706;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2015";787;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2016";869;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2017";905;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2018";1009;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2019";1026;"-";"";
2200000;"POMORSKIE";"total";"total";"35-39";"males total";"2020";851;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2010";482;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2011";479;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2012";500;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2013";525;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2014";583;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2015";702;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2016";790;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2017";878;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2018";926;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2019";1004;"-";"";
2200000;"POMORSKIE";"total";"total";"40-49";"males total";"2020";898;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2010";307;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2011";355;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2012";341;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2013";288;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2014";337;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2015";396;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2016";371;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2017";410;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2018";390;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2019";426;"-";"";
2200000;"POMORSKIE";"total";"total";"50-59";"males total";"2020";317;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2010";161;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2011";174;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2012";173;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2013";171;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2014";183;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2015";222;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2016";237;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2017";228;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2018";224;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2019";271;"-";"";
2200000;"POMORSKIE";"total";"total";"60 and more";"males total";"2020";238;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2010";28462;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2011";25495;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2012";24925;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2013";22225;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2014";22765;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2015";22338;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2016";22970;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2017";22449;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2018";22242;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2019";21132;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"females total";"males total";"2020";16529;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2010";972;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2011";883;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2012";778;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2013";627;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2014";484;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2015";405;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2016";360;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2017";306;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2018";291;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2019";263;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"under 20 years";"males total";"2020";171;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2010";9698;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2011";8300;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2012";7881;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2013";6726;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2014";6663;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2015";6087;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2016";5810;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2017";5369;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2018";4948;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2019";4290;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"20-24";"males total";"2020";3187;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2010";11209;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2011";9849;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2012";9688;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2013";8378;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2014";8748;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2015";8548;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2016";8936;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2017";8765;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2018";8614;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2019";7944;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"25-29";"males total";"2020";6118;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2010";3354;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2011";3218;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2012";3286;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2013";3155;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2014";3302;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2015";3505;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2016";3578;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2017";3689;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2018";3710;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2019";3567;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"30-34";"males total";"2020";2777;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2010";1192;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2011";1239;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2012";1244;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2013";1274;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2014";1362;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2015";1466;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2016";1610;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2017";1609;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2018";1748;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2019";1870;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"35-39";"males total";"2020";1486;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2010";984;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2011";973;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2012";1006;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2013";1030;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2014";1150;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2015";1255;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2016";1452;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2017";1526;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2018";1691;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2019";1859;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"40-49";"males total";"2020";1632;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2010";698;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2011";685;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2012";709;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2013";710;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2014";687;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2015";686;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2016";764;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2017";748;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2018";752;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2019";822;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"50-59";"males total";"2020";736;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2010";355;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2011";348;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2012";333;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2013";325;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2014";369;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2015";386;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2016";460;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2017";437;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2018";488;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2019";517;"-";"";
2400000;"ŚLĄSKIE";"total";"total";"60 and more";"males total";"2020";422;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2010";7833;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2011";6881;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2012";6820;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2013";5844;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2014";6051;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2015";5892;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2016";5995;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2017";5866;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2018";5902;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2019";5354;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"females total";"males total";"2020";4183;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2010";429;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2011";325;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2012";282;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2013";225;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2014";157;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2015";155;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2016";117;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2017";104;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2018";77;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2019";72;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"under 20 years";"males total";"2020";44;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2010";3085;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2011";2548;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2012";2468;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2013";2048;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2014";2047;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2015";1844;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2016";1781;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2017";1656;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2018";1618;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2019";1374;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"20-24";"males total";"2020";1004;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2010";3047;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2011";2789;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2012";2672;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2013";2317;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2014";2425;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2015";2514;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2016";2589;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2017";2553;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2018";2579;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2019";2255;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"25-29";"males total";"2020";1808;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2010";747;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2011";694;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2012";832;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2013";703;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2014";805;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2015";759;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2016";839;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2017";812;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2018";844;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2019";825;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"30-34";"males total";"2020";623;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2010";223;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2011";203;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2012";251;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2013";248;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2014";275;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2015";260;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2016";280;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2017";304;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2018";333;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2019";355;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"35-39";"males total";"2020";292;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2010";152;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2011";142;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2012";153;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2013";156;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2014";162;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2015";187;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2016";223;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2017";263;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2018";273;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2019";268;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"40-49";"males total";"2020";258;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2010";104;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2011";129;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2012";102;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2013";97;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2014";108;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2015";103;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2016";107;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2017";100;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2018";111;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2019";129;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"50-59";"males total";"2020";94;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2010";46;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2011";51;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2012";60;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2013";50;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2014";72;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2015";70;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2016";59;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2017";74;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2018";67;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2019";76;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"total";"total";"60 and more";"males total";"2020";60;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2010";8370;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2011";7643;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2012";7523;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2013";6556;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2014";6978;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2015";6903;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2016";6693;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2017";6834;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2018";6696;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2019";6357;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"females total";"males total";"2020";4767;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2010";349;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2011";299;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2012";236;"-";"";
